time,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,Clear,NIR
2024-07-06 21:11:19,5585, 30728, 14356, 18365, 20342, 23735, 12583, 6825, 57858, 3142
time,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,Clear,NIR
2024-07-06 21:11:22,1777, 6828, 1987, 3186, 8812, 10955, 5814, 2854, 18483, 956
2024-07-06 21:11:23,1776, 6806, 1983, 3171, 8728, 10892, 5787, 2836, 18385, 948
2024-07-06 21:11:24,1763, 6748, 1966, 3150, 8629, 10827, 5753, 2820, 18298, 942
2024-07-06 21:11:25,1759, 6724, 1962, 3136, 8590, 10803, 5744, 2810, 18253, 936
2024-07-06 21:11:26,1750, 6684, 1948, 3118, 8466, 10715, 5696, 2785, 18117, 930
2024-07-06 21:11:27,1741, 6642, 1938, 3100, 8435, 10683, 5681, 2779, 18064, 926
2024-07-06 21:11:28,1737, 6619, 1930, 3090, 8345, 10629, 5648, 2762, 17978, 920
2024-07-06 21:11:29,1730, 6577, 1917, 3067, 8278, 10578, 5625, 2747, 17886, 914
2024-07-06 21:11:31,1721, 6539, 1906, 3048, 8214, 10528, 5597, 2735, 17811, 910
2024-07-06 21:11:32,1718, 6515, 1899, 3037, 8169, 10492, 5580, 2722, 17750, 906
