Timestamp,Mode,F1_415nm,F2_445nm,F3_480nm,F4_515nm,F5_555nm,F6_590nm,F7_630nm,F8_680nm,Clear,NIR,RSSI,SNR
2025-04-29 17:58:23,Refractive,234,1048,491,989,1138,1066,695,360,633,62,-38,5
2025-04-29 17:58:28,Backlight,901,3205,1886,2450,3265,2375,2235,829,10034,700,-39,5
2025-04-29 17:58:31,Backlight,897,3195,1882,2440,3254,2367,2229,828,10005,698,-39,5
2025-04-29 17:58:34,Backlight,895,3188,1880,2435,3249,2362,2226,827,9989,697,-39,5
2025-04-29 17:58:37,Backlight,894,3183,1880,2431,3244,2359,2223,826,9975,696,-39,4
2025-04-29 17:58:40,Backlight,892,3178,1879,2428,3240,2356,2221,825,9965,695,-39,5
2025-04-29 17:58:44,Backlight,891,3174,1878,2425,3236,2353,2219,824,9954,694,-38,4
2025-04-29 17:58:48,UV,95,44,42,53,56,65,51,26,170,0,-38,5
2025-04-29 17:58:51,UV,95,44,42,53,56,65,51,25,170,0,-37,7
2025-04-29 17:58:54,UV,96,44,41,53,55,65,51,25,169,0,-38,5
2025-04-29 17:58:57,UV,96,44,41,53,56,66,51,26,169,0,-39,5
2025-04-29 17:59:19,Refractive,234,1050,492,991,1139,1066,696,361,633,62,-23,5
2025-04-29 17:59:23,Backlight,899,3200,1886,2443,3256,2369,2230,828,10011,698,-22,5
2025-04-29 17:59:27,Backlight,895,3188,1882,2434,3246,2361,2224,826,9982,696,-22,4
2025-04-29 17:59:30,Backlight,893,3180,1880,2429,3240,2356,2221,825,9964,695,-22,5
2025-04-29 17:59:33,Backlight,891,3175,1878,2425,3236,2353,2218,824,9951,694,-22,4
2025-04-29 17:59:36,Backlight,890,3170,1877,2422,3232,2350,2216,824,9939,693,-22,5
2025-04-29 17:59:39,Backlight,889,3166,1877,2419,3229,2348,2214,823,9931,693,-22,5
2025-04-29 17:59:43,UV,95,44,42,53,55,66,51,26,170,0,-23,5
2025-04-29 17:59:47,UV,96,44,42,53,56,66,51,25,169,0,-23,4
2025-04-29 17:59:50,UV,96,44,41,53,55,66,52,26,169,0,-23,7
2025-04-29 17:59:53,UV,97,44,41,52,55,66,51,26,169,0,-23,7
2025-04-29 18:02:13,Refractive,233,1046,490,988,1134,1063,693,359,631,62,-22,5
2025-04-29 18:02:17,Backlight,900,3205,1886,2450,3265,2375,2235,830,10030,700,-23,5
2025-04-29 18:02:21,Backlight,897,3195,1882,2441,3254,2367,2229,828,10001,698,-23,5
2025-04-29 18:02:24,Backlight,895,3188,1880,2435,3249,2363,2226,827,9986,697,-23,5
2025-04-29 18:02:27,Backlight,894,3183,1879,2432,3244,2359,2224,826,9974,696,-23,5
2025-04-29 18:02:30,Backlight,892,3178,1879,2428,3241,2356,2221,825,9963,695,-23,5
2025-04-29 18:02:33,Backlight,891,3174,1878,2426,3237,2354,2219,825,9953,695,-22,4
2025-04-29 18:02:38,UV,96,43,41,53,55,65,51,26,169,0,-23,5
2025-04-29 18:02:41,UV,96,43,41,53,56,65,51,25,169,0,-24,6
2025-04-29 18:02:44,UV,96,43,41,53,55,66,51,26,169,0,-23,5
2025-04-29 18:02:47,UV,97,44,41,53,55,65,51,26,169,0,-23,5
2025-04-29 18:04:50,Refractive,234,1049,491,990,1138,1066,695,360,633,62,-24,4
2025-04-29 18:04:54,Backlight,900,3205,1885,2450,3265,2376,2235,830,10030,700,-22,5
2025-04-29 18:04:57,Backlight,897,3195,1882,2441,3255,2368,2229,828,10002,698,-23,4
2025-04-29 18:05:01,Backlight,895,3189,1880,2437,3250,2364,2227,827,9987,697,-23,5
2025-04-29 18:05:04,Backlight,894,3184,1880,2433,3246,2361,2224,826,9977,696,-23,5
2025-04-29 18:05:07,Backlight,892,3179,1879,2429,3241,2357,2222,825,9963,695,-23,5
2025-04-29 18:05:10,Backlight,891,3176,1878,2426,3238,2355,2220,825,9953,695,-23,4
2025-04-29 18:05:14,UV,95,43,41,54,56,66,51,26,169,0,-23,5
2025-04-29 18:05:17,UV,96,44,41,53,54,64,51,25,169,0,-23,4
2025-04-29 18:05:21,UV,97,43,41,52,54,64,50,25,168,0,-22,5
2025-04-29 18:05:24,UV,97,42,41,52,54,65,51,25,168,0,-22,4
2025-04-29 18:07:37,Refractive,234,1049,491,990,1137,1065,695,360,633,62,-22,6
2025-04-29 18:07:41,Backlight,900,3206,1885,2451,3266,2376,2235,830,10026,700,-22,5
2025-04-29 18:07:45,Backlight,897,3196,1882,2442,3257,2369,2230,828,10000,698,-22,5
2025-04-29 18:07:48,Backlight,895,3190,1880,2437,3251,2364,2227,827,9984,697,-24,6
2025-04-29 18:07:51,Backlight,894,3184,1880,2433,3246,2360,2224,826,9971,696,-36,4
2025-04-29 18:07:54,Backlight,893,3180,1879,2430,3242,2357,2222,826,9959,695,-41,4
2025-04-29 18:07:57,Backlight,892,3176,1878,2427,3239,2355,2221,825,9951,695,-37,4
2025-04-29 18:08:01,UV,95,44,42,52,55,65,51,26,168,0,-35,5
2025-04-29 18:08:05,UV,96,43,41,51,52,61,47,24,162,0,-39,5
2025-04-29 18:08:08,UV,96,43,41,52,55,65,50,25,169,0,-37,7
2025-04-29 18:08:11,UV,96,43,41,52,55,65,51,26,169,0,-33,4
2025-04-29 18:09:32,Refractive,234,1049,490,990,1134,1062,694,360,632,62,-37,5
2025-04-29 18:09:36,Backlight,900,3204,1885,2450,3265,2375,2235,830,10022,699,-37,5
2025-04-29 18:09:39,Backlight,897,3195,1882,2440,3254,2367,2229,828,9993,698,-37,6
2025-04-29 18:09:42,Backlight,895,3188,1880,2435,3249,2363,2226,827,9978,697,-30,4
2025-04-29 18:09:46,Backlight,893,3183,1879,2431,3244,2359,2223,826,9965,696,-23,5
2025-04-29 18:09:49,Backlight,892,3178,1878,2428,3240,2356,2221,825,9953,695,-21,5
2025-04-29 18:09:52,Backlight,891,3174,1878,2425,3237,2354,2219,825,9943,694,-22,6
2025-04-29 18:09:56,UV,95,43,41,52,54,65,51,25,168,0,-22,7
2025-04-29 18:09:59,UV,96,43,41,53,55,65,51,25,169,0,-22,7
2025-04-29 18:10:02,UV,97,43,41,52,55,65,51,25,169,0,-22,7
2025-04-29 18:10:06,UV,97,43,41,52,55,65,50,26,169,0,-22,7
